date,humidity,solar_irradiance,temperature,energy_production
2022-01-01,62.483570765056164,519.5845255097681,19.58463204804868,45.9397606713949
2022-01-02,59.653417816227865,407.33381206975355,16.585659782694744,51.806937550208815
2022-01-03,63.92781890052747,551.1659187218073,19.889962385659935,65.61664292852069
2022-01-04,68.64895754215402,345.24876347792434,18.223794832457518,38.99162133292502
2022-01-05,60.20716625589447,623.5845606752316,19.291879497719197,60.91126372234761
2022-01-06,60.55096378190177,573.0844767410194,23.05697163824759,59.24658601051576
2022-01-07,69.960916519149,556.575760055568,26.55835284426324,63.50188207973901
2022-01-08,66.24461642226038,634.380740041989,22.98959667184083,62.60561371379284
2022-01-09,60.401945846020276,707.7872110816832,18.474339145665716,60.42352467342706
2022-01-10,65.80317607408664,647.7926443441652,23.65158989677803,67.25870639865025
2022-01-11,61.11342721350132,367.3703120302898,26.16278121810967,70.79469103754685
2022-01-12,61.44098740459359,428.58684591310305,20.99787841637551,57.83492539150263
2022-01-13,65.31744793403782,499.1326908735467,22.678675932136976,64.75417726637684
2022-01-14,54.87801523378835,569.2753518772435,23.377376926995595,63.2168897626789
2022-01-15,56.155286583374384,623.4640382360055,21.230211870207945,64.24412146042019
2022-01-16,62.30247711986921,504.1343401757645,25.78027737608713,69.78597255993846
2022-01-17,60.38227866110021,600.3731903892927,23.721981251255905,77.1322691692229
2022-01-18,67.34857209580585,511.1217382571099,25.591598906343194,67.69503489932609
2022-01-19,61.566399576296206,530.4460190093391,21.917413432020396,64.64208399239007
2022-01-20,59.372371507047596,455.84224052103855,23.513042609322806,67.14941611913301
2022-01-21,74.08759218377605,509.0669004764339,27.236655327859527,59.35185008916835
2022-01-22,65.95391672271907,471.0735128156429,24.193599212588513,68.99562020520273
2022-01-23,67.74178458680865,513.4748281528022,30.73399922622699,77.78523243407733
2022-01-24,60.599547939782376,721.2135127235289,24.59355809629344,75.2546711502172
2022-01-25,65.31822569570356,525.662200891748,26.704158666002765,69.52491008360013
2022-01-26,68.90921370697703,888.5572178601545,29.063723064440047,85.12712503265797
2022-01-27,62.91161186650992,679.3304863924105,22.244837616416984,71.98521722516352
2022-01-28,70.85447369573761,653.123366429626,21.449561267064606,68.74933774496932
2022-01-29,66.2795269252615,553.4050276047113,22.38507133743135,80.27014821105779
2022-01-30,68.12823017494112,713.8314717995117,30.97777650321218,81.47352545185825
2022-01-31,66.87929586732994,590.7536513033767,25.760297258680364,73.083301496726
2022-02-01,79.44741183482266,664.9912951487057,35.31411354121323,77.58146881850422
2022-02-02,70.41370014832411,913.2262479070864,26.168146908038178,87.80082353660909
2022-02-03,65.48468265892424,651.9925695830914,28.63358188736893,80.70475273486466
