date,energy_production,humidity,solar_irradiance,temperature
2021-01-01,148961,74.89963067306093,593.3749095673498,17.137479919530396
2021-01-02,142961,72.83579190307843,552.4167357827347,13.170568345392578
2021-01-03,153821,74.75454926275526,566.1695829820316,18.023196021515968
2021-01-04,152869,79.30754300977276,483.10407876954775,16.913280798765452
2021-01-05,153901,70.33052565195607,591.4550604451744,13.868960852845335
2021-01-06,181301,65.25679675324842,681.834753598269,22.472989786117747
2021-01-07,183677,73.88356842916318,693.8288548272443,18.938314235428173
2021-01-08,166191,73.06265825026654,551.6528791189447,16.844204363270045
2021-01-09,149941,69.88721590651151,501.2554162558614,17.060385692750124
2021-01-10,127580,79.08809927649716,525.1516614952985,16.47209526371703
2021-01-11,116500,76.10995605955499,429.48135183482134,10.91212964787283
2021-01-12,123224,74.85327513239093,490.436556863787,13.814205359550616
2021-01-13,86662,85.16212494157028,322.369647131721,10.486244850417085
2021-01-14,128396,66.65779455915192,477.00389132596905,15.651693745061742
2021-01-15,175537,58.87024443865551,697.0175182743864,19.855982949822046
2021-01-16,173460,65.06800564192093,616.6088978266154,18.538278348957874
2021-01-17,240010,50.49185260530974,893.6858747074119,25.011214634513443
2021-01-18,250190,55.242157430047705,903.467820223321,27.969735305849948
2021-01-19,228195,53.203737348289636,823.3980341104703,23.20940734049137
2021-01-20,191971,57.39013955549809,695.508232583077,15.486304195706053
2021-01-21,214983,67.5186413795504,807.298737882833,24.758881087349756
2021-01-22,223779,57.432711600147194,804.8307068652288,26.67091382062447
2021-01-23,207782,61.861487935081236,832.3108680458437,18.359826981931356
2021-01-24,242180,48.030436259745045,852.1860910727783,24.88803227609273
2021-01-25,256282,49.820917489834926,939.7997955427154,29.712609854533895
2021-01-26,250915,54.09128141759168,907.2800777054443,31.992989857997987
2021-01-27,243091,49.23051434714301,972.6392495325963,27.050298074798103
2021-01-28,242927,56.894341121674955,909.5107182266469,25.534483499573778
2021-01-29,219692,56.31521226270238,865.2241127275037,24.043163690412477
2021-01-30,183405,64.57940336136865,604.9645391414509,23.127029572095356
2021-01-31,225237,55.28307404070699,847.5203712563834,23.733107380638543
2021-02-01,249683,63.02619571044458,969.185444023174,26.14273311395956
2021-02-02,245585,54.45616820534512,913.6411128830754,26.32032035821506
2021-02-03,244913,49.3595376763594,960.3121723304895,25.304487390799235
2021-02-04,232707,61.02107005371259,835.9686676310483,26.100333336071603
2021-02-05,238936,49.650668533793144,955.3696363363139,29.796424846750167
2021-02-06,225013,59.37740440757913,948.2831775298556,25.64630668669885
2021-02-07,212238,50.900353892219044,767.8839817456587,23.076070288776673
2021-02-08,245499,47.89864918472263,886.9332853456658,26.692629804640042
2021-02-09,245492,55.525181837644816,981.8517106899011,24.149092987627167
2021-02-10,241352,58.99983547391766,972.8285558077234,28.58171800992995
2021-02-11,252408,54.11704272884422,908.6529721844493,27.888204812237777
2021-02-12,252250,52.71121765314432,913.2014778434968,27.66536473376744
2021-02-13,247712,52.62426738500881,903.3150522978696,33.90834361791657
2021-02-14,241176,47.947483524797406,825.9756049155953,27.393449730750646
2021-02-15,253597,49.44080651215328,893.2668515932536,26.67240136733354
2021-02-16,181932,64.00744189001429,623.5802467661318,19.360903360700974
2021-02-17,226987,63.25316096184409,802.2591251298032,27.5163615199438
2021-02-18,40505,94.2175544386502,148.27649581450325,4.726863026590799
2021-02-19,195089,55.05907981604448,734.2251247696631,18.79887568765038
2021-02-20,30439,95.98386026117471,190.25621635668895,5.22039362062996
2021-02-21,229940,55.49531493062709,801.6677713088869,24.211276029296805
2021-02-22,212787,57.21243311475307,837.275257598172,27.388369682665374
2021-02-23,33796,96.80018742463498,114.46443818011167,5.915012543170911
2021-02-24,235687,61.51151986688138,870.3963694293459,25.291442856041524
2021-02-25,206005,66.50930451908125,796.6828961383248,25.450290369370066
2021-02-26,21616,91.8011569712045,23.919007175531178,2.5373642686641897
2021-02-27,205643,60.37387560546694,780.7217376147422,24.553584859410627
2021-02-28,227648,59.50146592708159,851.4196350093773,26.262376372550683
2021-03-01,184249,70.75930955348272,706.9908848429891,18.7783363392957
2021-03-02,243715,52.4740614809314,917.0597787922339,25.79094073327037
2021-03-03,239142,54.78844573013059,1008.4301947265512,28.629877267092517
2021-03-04,232373,51.43851926805159,828.7091180257996,25.14833285293788
2021-03-05,270014,44.01896687959665,973.4501522499091,29.192703073516007
2021-03-06,228622,61.727416863717195,815.5472186438377,23.49088219025357
2021-03-07,227462,64.66079157144671,814.6343154701354,26.119443274031365
2021-03-08,18996,96.12235400815527,38.48255131353521,6.235607068852123
2021-03-09,220308,64.22200204232774,875.3640754980249,22.342331639770876
